iter	RMSE
272	0.3669080507
273	0.3667274174
274	0.3665096588
275	0.3663244596
276	0.3659931852
277	0.3657087983
278	0.3653939658
279	0.3650879798
280	0.3649184019
281	0.3646414118
282	0.3643866244
283	0.3641734886
284	0.3639712923
285	0.3636417324
286	0.3632715565
287	0.3630610027
288	0.3626779435
289	0.3623288619
290	0.3618889514
291	0.3616728247
292	0.3614598667
293	0.3612916566
294	0.3610758834
295	0.3608595964
296	0.3606559079
297	0.3603067498
298	0.3599590081
299	0.3596764819
300	0.3594262977
301	0.3592764446
302	0.3590237056
303	0.3587094084
304	0.3585562218
305	0.3582503812
306	0.3578264167
307	0.3575294982
308	0.3572850097
309	0.3569337084
310	0.3566568723
311	0.3564831984
312	0.3562216016
313	0.3558730174
314	0.3554932661
315	0.3551753868
316	0.3549352353
317	0.3548065057
318	0.3545617204
319	0.3541552518
320	0.3539269042
321	0.3537260179
322	0.3535602873
323	0.3532596701
324	0.3530062875
325	0.3527711705
326	0.352559756
327	0.3521945628
328	0.3518005896
329	0.3515160481
330	0.351239472
331	0.3509652383
332	0.3505800333
333	0.350218009
334	0.3500178762
335	0.3497778581
336	0.3495474699
337	0.3491506877
338	0.3489589583
339	0.3487877122
340	0.3486344849
341	0.3483990921
342	0.3481871738
343	0.3480151369
344	0.3478875262
345	0.3476064671
346	0.3472290145
347	0.3470476485
348	0.3467478846
349	0.3465624686
350	0.3463795932
351	0.3461339761
352	0.3459682011
353	0.3457418749
354	0.3455900929
355	0.3454591638
356	0.3452324125
357	0.3449148898
358	0.3446129867
359	0.3444414002
360	0.3442923317
361	0.3440658259
362	0.3439311333
363	0.3436278822
364	0.3434272767
365	0.3431583429
366	0.3428916509
367	0.3426512917
368	0.3423954948
369	0.3421455658
370	0.3418608287
371	0.3415798962
372	0.3413890662
373	0.3412057513
374	0.3409458639
375	0.3405596125
376	0.3402734027
377	0.3399746294
378	0.3398015922
379	0.3396673481
380	0.3394142411
381	0.3392707434
382	0.3388881282
383	0.3387092702
384	0.3383520542
385	0.3381001239
386	0.3378327736
387	0.3375431328
388	0.3372447807
389	0.337104948
390	0.3368914175
391	0.3366341923
392	0.3363312849
393	0.3360980329
394	0.335877198
395	0.3356881881
396	0.3353845258
397	0.3351664878
398	0.3348499124
399	0.3346376989
400	0.3345061557
401	0.3342670971
402	0.3339640937
403	0.3338362344
404	0.333554716
405	0.333229931
406	0.3329696593
407	0.332691416
408	0.3323952027
409	0.3321141282
410	0.3319433669
411	0.3317266661
412	0.3314981247
413	0.3312505036
414	0.3310724844
415	0.3307184892
416	0.3304916406
417	0.3301750921
418	0.3299072592
419	0.3297048095
420	0.32947821
421	0.3293599542
422	0.3290454641
423	0.3288928286
424	0.3286204426
425	0.3283806568
426	0.328150844
427	0.3278823234
428	0.3276869418
429	0.3274198437
430	0.3272187522
431	0.326958198
432	0.3267315259
433	0.3265120466
434	0.3262734249
435	0.3259151259
436	0.3256848047
437	0.3254536467
438	0.3252903789
439	0.3251158063
440	0.3247414188
441	0.3245715898
442	0.3243548431
443	0.3241256739
444	0.323871428
445	0.3236930806
446	0.323515938
447	0.3232948609
448	0.3232123058
449	0.3230534848
450	0.3228289135
451	0.3226468029
452	0.3224957677
453	0.3222528163
454	0.322073469
455	0.3219005728
456	0.3217450171
457	0.3214370618
458	0.3211490074
459	0.3209772594
460	0.3207792599
461	0.3205488697
462	0.32032931
463	0.320071394
464	0.3198720402
465	0.3197456416
466	0.3195159552
467	0.3193052601
468	0.3190943107
469	0.3188650665
470	0.3187504883
471	0.3186443682
472	0.3185045835
473	0.3182511255
474	0.3180186585
475	0.3177807104
476	0.3176486628
477	0.3175282018
478	0.3172740889
479	0.3170217663
480	0.3168613092
481	0.3166077947
482	0.3163705995
483	0.316190431
484	0.3160278928
485	0.3158103447
486	0.315550928
487	0.3152630377
488	0.3150646834
489	0.3148889862
490	0.3145921593
491	0.3143015482
492	0.3140705659
493	0.3139344461
494	0.3137033369
495	0.3134833461
496	0.3133702523
497	0.313119939
498	0.3129945658
